achirlar|a-chir-lar|Arg. Hacer chirle o más líquida una mezcla;;;
achispado|a-chis-pa-do|Algo ebrio;;;
achispar|a-chis-par|Poner casi ebrio a uno;;;
achotera|a-cho-te-ra|P. Rico. Vasija para guardar achote;;;
achulado|a-chu-la-do|Fam. Que tiene aire o modales de chulo;;;
achunchar|a-chun-char|Bol. y Chile. Avergonzar, turbar;;;
achupalla|a-chu-pa-lla|Planta bromeliácea, de América del Sur, de tallos gruesos y retorcidos, hojas espinosas por los bordes y flores en espiga. De sus tallos se hace una bebida refrescante;;;
achura|a-chu-ra|Amér. Merid. Intestino o menudo del animal vacuno, lanar o cabrío;;;
achurear|a-chu-re-ar|Fam. Herir o matar a alguien;;;
achurear|a-chu-re-arFam. Herir o matar a alguien;;;
aciago|a-cia-go|Infausto, infeliz, desgraciado, de mal agüero;;;
acíbar|a-cí-bar|Purgante amargo usado en medicina, extraído del aloe;;;
acicalado|a-ci-ca-la-do|Pulcro, bien arreglado;;;
acicalar|a-ci-ca-lar|Limpiar, bruñir;;;
acicate|a-ci-ca-te|Espuela con sólo una punta de hierro;;;
acicate|a-ci-ca-teEspuela con sólo una punta de hierro;;;
acicatear|a-ci-ca-te-ar|Incitar, estimular;;;
acicates|a-ci-ca-tes|Espuelas con sólo una punta de hierro;;;
acícula|a-cí-cu-la|Espina endeble de algunas especies de rosales;;;
acicular|a-ci-cu-lar|De figura de aguja;;;
acidalio|a-ci-da-lio|Relativo a la diosa Venus;;;
acidaque|a-ci-da-que|Arras que está obligado a dar el mahometano a la mujer por razón de casamiento;;;
acidez|a-ci-dez|Sabor desagradable y molesto en la boca, producido por exceso de ácido en el estómago;;;
acidífero|a-ci-dí-fe-ro|Que contiene uno o más ácidos;;;
acidioso|a-ci-dio-so|Perezoso, flojo;;;
ácido|á-ci-do|Agrio, que tiene sabor parecido al del agraz o el vinagre;;;
ácido|á-ci-doAgrio, que tiene sabor parecido al del agraz o el vinagre;;;
ácidos|á-ci-dos|Quím. Sustancias que combinadas con las bases dan sales;;;
acidosis|a-ci-do-sis|Pat. Estado anormal producido por exceso de ácidos en los tejidos y en la sangre;;;
acidular|a-ci-du-lar|En vitivinicultura, añadir a un producto una pequeña cantidad de ácido;;;
acídulo|a-cí-du-lo|Ligeramente ácido;;;
acierto|a-ci-er-to|Acción y efecto de acertar;;;
acierto|a-cier-to|Acción y efecto de acertar;;;
ácigos|á-ci-gos|(Vena ~) Anat. Vena que está en la parte derecha y anterior de la porción torácica del raquis y pone en comunicación la cava superior con la inferior;;;
acimut|a-ci-mut|Astron. Ángulo que forma el meridiano con el círculo vertical que pasa por un punto de la esfera celeste o del globo terráqueo;;;
acinesia|a-ci-ne-sia|Intervalo que, en cada pulsación, separa la sístole de la diástole;;;
acinésico|a-ci-né-si-co|Med. Que padece falta de movimiento o acinesia;;;
aclamado|a-cla-ma-do|Ovacionado, aplaudido, vitoreado;;;
aclamar|a-cla-mar|Aplaudir y dar voces la multitud en honor de una persona;;;
aclarar|a-cla-rar|Fig. Explicar, dilucidar, poner en claro;;;
aclarecer|a-cla-re-cer|Poner algo en claro;;;
aclimatar|a-cli-ma-tar|Acostumbrar a un ser orgánico a un clima que no le es habitual;;;
acobardar|a-co-bar-dar|Amedrentar, atemorizar;;;
acobijar|a-co-bi-jar|Abrigar las cepas y plantones con cobijos;;;
acobrado|a-co-bra-do|De color de cobre;;;
acocarse|a-co-car-se|Agusanarse los frutos;;;
acocear|a-co-ce-ar|Dar coces contra una persona o cosa;;;
acodado|a-co-da-do|Doblado en forma de codo;;;
acodalar|a-co-da-lar|Arq. Poner codales a un vano o a una excavación;;;
acoderar|a-co-de-rar|Asegurar con codera la dirección de una nave fondeada;;;
acodillar|a-co-di-llar|Doblar barras metálicas, tubos, etc., dándoles forma de codo;;;
acogedor|a-co-ge-dor|Lugar agradable, cómodo, tranquilo o amistoso;;;
acoger|a-co-ger|Recibir con un sentimiento especial la aparición de personas o hechos;;;
acogerse|a-co-ger-se|Invocar para sí los beneficios y derechos que conceden una disposición legal, un reglamento, una costumbre, etc.;;;
acogida|a-co-gi-da|Recibimiento u hospitalidad que ofrece una persona;;;
acogotar|a-co-go-tar|Apretar el cogote de una persona;;;
acolada|a-co-la-da|Abrazo que, acompañado de un espaldarazo, se daba al que acababa de ser armado caballero;;;
acolchado|a-col-cha-do|Labor que se ejecuta poniendo una capa de guata entre dos telas y pespunteando después;;;
acolchar|a-col-char|Poner lana, algodón, etc. entre dos telas y bastearlas;;;
acolitado|a-co-li-ta-do|La superior de las cuatro órdenes menores, que da facultad para servir al sacerdote en el altar;;;
acólito|a-có-li-to|Clérigo que ha recibido la orden del acolitado;;;
acollador|a-co-lla-dor|Mar. Cabo para poner tirante las jarcias;;;
acollar|a-co-llar|Cobijar con tierra el pie de los árboles y otras plantas;;;
acollarar|a-co-lla-rar|Atar a los perros por sus collares;;;
acología|a-co-lo-gí-a|Med. Tratado de los medios terapéuticos en general y de los instrumentos de cirugía;;;
acometer|a-co-me-ter|Arremeter, emprender, intentar;;;
acometida|a-co-me-ti-da|Acción y efecto de acometer;;;
acomodado|a-co-mo-da-do|Moderado en el precio;;;
acomodar|a-co-mo-dar|Ordenar, componer, poner en sitio conveniente;;;
acomodo|a-co-mo-do|Acción de acomodar o acomodarse.// Arreglo, conveniencia;;;
acompañar|a-com-pa-ñar|Estar o ir en compañía de otro;;;
acompasar|a-com-pa-sar|Mús. Dividir en tiempos iguales las composiciones, formando líneas perpendiculares que cortan el pentagrama;;;
aconcagua|a-con-ca-gua|Pico más alto de los Andes y del continente americano, situado en la provincia de Mendoza, Argentina;;;
Aconcagua|a-con-ca-gua|Pico más alto de los Andes y del continente americano, situado en la provincia de Mendoza, Argentina;;;
acongojar|a-con-go-jar|Oprimir, afligir;;;
aconitina|a-co-ni-ti-na|Alcaloide muy tóxico que se obtiene del acónito;;;
acónito|a-có-ni-to|Planta ranunculácea venenosa, medicinal y de jardín de flores grandes y raíz fusiforme;;;
aconquija|a-con-qui-ja|Sierra de la Argentina, estribación de los Andes que señala parte del límite entre Catamarca y Tucumán, altura máxima 5400 metros;;;
aconsejar|a-con-se-jar|Sugerir a uno lo que ha de hacer;;;
acontecer|a-con-te-cer|Suceder, efectuarse un hecho;;;
aconteció|a-con-te-ció|Sucedió, ocurrió;;;
acopiador|a-co-pia-dor|Que acopia;;;
acopiar|a-co-piar|Juntar   reunir generalmente granos   provisiones   etc;;;
acopiar|a-co-piar|Juntar, reunir generalmente granos, provisiones, etc.;;;
acoplable|a-co-pla-ble|Que se puede acoplar;;;
acoplado|a-co-pla-do|Vehículo destinado a ir remolcado por otro;;;
acoplador|a-co-pla-dor|Que acopla o sirve para acoplar;;;
acoplar|a-co-plar|Unir dos piezas u objetos de modo que ajusten;;;
acoplarse|a-co-plar-se|Producirse interferencias entre dos o más sistemas acústicos que impiden una correcta audición;;;
acoplo|a-co-plo|Acoplamiento o inducción eléctrica entre dos mecanismos;;;
acorazado|a-co-ra-za-do|Buque de guerra blindado y de grandes dimensiones;;;
acorazar|a-co-ra-zar|Revestir con planchas de hierro o acero buques de guerra, fortificaciones, etc;;;
acorazar|a-co-ra-zar|Revestir con planchas de hierro o acero buques de guerra, fortificaciones, etc.;;;
acorchado|a-cor-cha-do|Fofo y seco como el corcho;;;
acorchar|a-cor-char|Recubrir algo con corcho;;;
acordada|a-cor-da-da|Plantilla de contornos curvos para dibujar;;;
acordado|a-cor-da-do|Hecho con acuerdo y madurez;;;
acordanza|a-cor-dan-za|Armonía, consonancia de las cosas;;;
acorde|a-cor-de|Mús. Conjunto de tres o más sonidos diferentes combinados armónicamente;;;
acordelar|a-cor-de-lar|Señalar con cuerdas líneas o perímetros;;;
acordeón|a-cor-de-ón|Mús. Instrumento de viento, compuesto de lengüetas de metal, un pequeño teclado de válvulas y un fuelle;;;
acordes|a-cor-des|Mús. Conjuntos de tres o más sonidos diferentes combinados armónicamente;;;
acordonar|a-cor-do-nar|Delimitar un sitio con un cordón;;;
acornado|a-cor-na-do|Que ha recibido cornadas;;;
acornar|a-cor-nar|Dar cornadas a una persona, animal o cosa;;;
acornear|a-cor-ne-ar|Dar cornadas a una persona, animal o cosa;;;
acorralar|a-co-rra-lar|Fig. Tener a uno rodeado para que no pueda escaparse;;;
acorrer|a-co-rrer|Acudir en socorro o en demanda de alguien;;;
acortar|a-cor-tar|Disminuir la longitud, duración o cantidad de alguna cosa;;;
acorvado|a-cor-va-do|Encorvado, inclinado hacia adelante;;;
acorvar|a-cor-var|Doblar una cosa poniéndola corva;;;
acosador|a-co-sa-dor|El que persigue, sin darle tregua ni reposo, a un animal o a una persona;;;
acosar|a-co-sar|Fig. Perseguir, importunar a uno;;;
acotación|a-co-ta-ción|Apuntamiento puesto en la margen de algún escrito o impreso;;;
acotillo|a-co-ti-llo|Martillo grueso de herrero;;;
acoyundar|a-co-yun-dar|Poner la coyunda a los  bueyes;;;
acracia|a-cra-cia|Doctrina que niega la necesidad de un poder y autoridad política;;;
acre|a-cre|Áspero y picante al gusto y al olfato;;;
acrecenta|a-cre-cen-ta|Aumenta, crece;;;
acreditar|a-cre-di-tar|Asentar en una cuenta corriente cierta cantidad de dinero;;;
acreedora|a-cre-e-do-ra|Mujer que tiene derecho a que se le satisfaga una deuda;;;
acreedor|a-cre-e-dor|Que tiene derecho a pedir el cumplimiento de una obligación, especialmente de pago;;;
acreencia|a-cre-en-cia|Crédito, deuda que alguien tiene a su favor;;;
acribilla|a-cri-bi-lla|Hace muchas heridas;;;
acrilato|a-cri-la-to|Quím. Sal o éster del ácido acrílico;;;
acrílico|a-crí-li-co|(Ácido ~) Quím. Líquido incoloro, soluble en agua y de olor picante que se emplea en la fabricación de materiales plásticos y pinturas;;;
acrílico|a-crí-li-co|(Ácido) Quím. Líquido incoloro, soluble en agua y de olor picante que se emplea en la fabricación de materiales plásticos y pinturas;;;
acrilina|a-cri-li-na|Resina sintética incolora;;;
acrimina|a-cri-mi-na|Acusa a uno de un crimen o delito;;;
acrimonia|a-cri-mo-nia|Calidad de acre o picante, especialmente al gusto o al olfato;;;
acrisolar|a-cri-so-lar|Depurar los metales en el crisol;;;
acrisolar|a-cri-so-larDepurar los metales en el crisol;;;
acrobacia|a-cro-ba-cia|Evolución particular que efectúa un aviador en el aire;;;
acróbata|a-cró-ba-ta|Persona que hace habilidades sobre cuerdas o alambres en altura;;;
acrofita|a-cro-fi-ta|Planta que crece en las regiones alpinas;;;
acrofobia|a-cro-fo-bia|Temor morboso a las alturas;;;
acroleína|a-cro-le-í-na|Quím. Aldehído acrílico que se usa como gas de guerra, para la obtención de plásticos y como desinfectante;;;
acromía|a-cro-mí-a|Carencia de color;;;
acromiano|a-cro-mia-no|Relativo al acromion;;;
acromio|a-cro-mio|Parte del omóplato que se articula con la clavícula;;;
acromion|a-cro-mion|Parte del omóplato que se articula con la clavícula;;;
acrónico|a-cró-ni-co|Astro que nace al ponerse el sol y se pone cuando éste sale;;;
acrónimo|a-cró-ni-mo|Palabra que se forma a partir de las letras iniciales de un nombre compuesto;;;
acrónimo|a-cró-ni-moPalabra que se forma a partir de las letras iniciales de un nombre compuesto;;;
acrónimos|a-cró-ni-mos|Palabras que se forman a partir de las letras iniciales de un nombre compuesto;;;
ácrono|á-cro-no|Intemporal;;;
acrópolis|a-cró-po-lis|En la ciudad griega antigua, el sitio más alto y fortificado;;;
acróstico|a-crós-ti-co|Composición poética en que las letras iniciales, medias o finales de los versos forman, leídas verticalmente, o en otra dirección, un vocablo o una frase;;;
acrotera|a-cro-te-ra|Arq. Remate de los frontispicios sobre el cual se colocan estatuas y otros adornos arquitectónicos;;;
acrótera|a-cró-te-ra|Arq. Remate de los frontispicios sobre el cual se colocan estatuas y otros adornos arquitectónicos;;;
acroy|a-croy|Gentilhombre de la casa de Borgoña, que acompañaba al soberano en ciertos actos públicos y le seguía a la guerra;;;
acta|ac-ta|Relación escrita de lo tratado o acordado en una junta;;;
actínidos|ac-tí-ni-dos|Grupo formado por los elementos químicos cuyo número atómico está comprendido entre el 89 y el 103;;;
actinio|ac-ti-nio|(Ac) Elemento químico metal radiactivo;;;
actinismo|ac-ti-nis-mo|Acción química de las radiaciones luminosas;;;
actitud|ac-ti-tud|Fig. Disposición de ánimo manifestada exteriormente;;;
activa|ac-ti-va|Mujer diligente y eficaz;;;
activado|ac-ti-va-do|Puesto en funcionamiento;;;
activador|ac-ti-va-dor|Cuerpo que actúa sobre un catalizador aumentándole la actividad;;;
activar|ac-ti-var|Poner en funcionamiento un mecanismo;;;
actividad|ac-ti-vi-dad|Tarea  ocupación;;;
actividad|ac-ti-vi-dad|Tarea, ocupación;;;
activismo|ac-ti-vis-mo|Actitud de dar primacía a la acción frente a la discusión o elaboración teórica;;;
activista|ac-ti-vis-ta|Miembro de un grupo político o social, que se dedica a la propaganda y a promover las actividades de los asociados;;;
actor|ac-tor|El que representa en el teatro, en el cine, etc.;;;
actriz|ac-triz|Mujer que actúa en el teatro, en el cine o en la televisión;;;
actuación|ac-tua-ción|Der. Autos o diligencias de un procedimiento judicial;;;
actual|ac-tual|Que está de moda o que tiene actualidad;;;
actuales|ac-tua-les|Que están de moda o que tienen actualidad;;;
actualiza|ac-tua-li-za|Pone al día, moderniza;;;
actuante|ac-tuan-te|Der. Que realiza actuaciones;;;
actuar|ac-tuar|Representar un personaje en un espectáculo público;;;
actuarial|ac-tua-rial|Relativo al actuario de seguros o a sus funciones;;;
actuario|ac-tua-rio|Der. Auxiliar judicial que da fe en los autos judiciales;;;
acuaplano|a-cua-pla-no|Barco diseñado especialmente para deslizarse sobre el agua a gran velocidad;;;
acuarela|a-cua-re-la|Pintura realizada con colores diluidos en agua y que emplea como blanco el del papel;;;
acuario|a-cua-rio|Edificio destinado a la exhibición de animales acuáticos vivos;;;
acuático|a-cuá-ti-co|Que vive en el agua;;;
acuatinta|a-cua-tin-ta|Dibujo o pintura realizado con tinta de un solo color;;;
acuatizar|a-cua-ti-zar|Amarar, posarse en el agua un hidroavión;;;
acubado|a-cu-ba-do|De figura de cubo o de cuba;;;
acucharar|a-cu-cha-rar|Dar figura parecida a la pala de una cuchara;;;
acuchilla|a-cu-chi-lla|Hiere, corta o mata con el cuchillo;;;
acuciante|a-cu-cian-te|Que estimula o da prisa;;;
acuciar|a-cu-ciar|Estimular, dar prisa;;;
acuciar|a-cu-ciar|Estimular, dar prisa a una persona;;;
acucioso|a-cu-cio-so|Diligente, presuroso;;;
acude|a-cu-de|Va al sitio adonde le conviene o es llamado;;;
acudir|a-cu-dir|Ir en socorro de alguno;;;
acueducto|a-cue-duc-to|Canal artificial construido para transportar agua;;;
acueducto|a-cue-duc-toCanal artificial construido para transportar agua;;;
acuerdo|a-cuer-do|Resolución tomada en común por varias personas, especialmente por una junta, asamblea o tribunal;;;
acuerpa|a-cuer-pa|Amér. Central. Respalda, defiende;;;
acuerpado|a-cuer-pa-do|De mucho cuerpo;;;
acuerpar|a-cuer-par|Amér. Central. Respaldar, defender;;;
acufeno|a-cu-fe-no|Alucinación acústica en forma de ruido continuo o intermitente;;;
acuidad|a-cui-dad|Visión clara y distinta de los objetos;;;
acuifero|a-cui-fe-ro|Terreno que contiene agua;;;
acuífero|a-cuí-fe-ro|Terreno que contiene agua;;;
acuíferos|a-cuí-fe-ros|Terrenos que contienen agua;;;
acullá|a-cu-llá|Allí, allá, en parte alejada del que habla;;;
acuminado|a-cu-mi-na-do|Bot. Que, disminuyendo gradualmente, termina en punta;;;
acumulado|a-cu-mu-la-do|Juntado, amontonado;;;
acumular|a-cu-mu-lar|Juntar y amontonar;;;
acunar|a-cu-nar|Mecer al niño en la cuna;;;
acuñador|a-cu-ña-dor|Que se dedica a imprimir monedas, medallas, etc.;;;
acuosidad|a-cuo-si-dad|Calidad de acuoso;;;
acuoso|a-cuo-so|Abundante en agua;;;
acupuntor|a-cu-pun-tor|Persona que practica la acupuntura;;;
acurrucar|a-cu-rru-car|(~se) Encogerse para resguardarse del frío, viento, etc;;;
acurrucar|a-cu-rru-car|(~se) Encogerse para resguardarse del frío, viento, etc.;;;
acurrucar|a-cu-rru-car|(se) Encogerse para resguardarse del frío, viento, etc.;;;
acusaba|a-cu-sa-ba|Denunciaba, delataba, culpaba;;;
acusable|a-cu-sa-ble|Que puede ser acusado;;;
acusación|a-cu-sa-ción|Escrito o discurso en que se acusa;;;
acusado|a-cu-sa-do|Persona a la que se imputa un delito;;;
acusado|a-cu-sa-do|Persona a la que se imputa un delito:;;;
acusadora|a-cu-sa-do-ra|Mujer que acusa;;;
acusador|a-cu-sa-dor|El que hace una acusación;;;
acusativo|a-cu-sa-ti-vo|Caso de las lenguas que tienen declinaciones, que suele corresponder a la función de objeto directo;;;
acuse|a-cu-se|Acción y efecto de avisar el recibo de una carta;;;
acusetas|a-cu-se-tas|Amér. Acusón, soplón;;;
acusete|a-cu-se-te|Amér. Acusón, soplón;;;
acusique|a-cu-si-que|Acusón, delator, soplón;;;
acusón|a-cu-són|Fam. Que tiene el vicio de acusar;;;
acústica|a-cús-ti-ca|Parte de la física que trata del sonido y de todo lo que a él se refiere;;;
acústico|a-cús-ti-co|Favorable para la reproducción o propagación del sonido;;;
acutí|a-cu-tí|Mamífero roedor de una familia afín a la del cobayo, propias de América Central y Meridional, viven en bosques;;;
adacilla|a-da-ci-lla|Planta, variedad de la adaza, de la cual se distingue por ser ella y su simiente más pequeñas;;;
adagio|a-da-gio|Sentencia, refrán;;;
adagista|a-da-gis-ta|El que usa adagios en forma frecuente;;;
adaguar|a-da-guar|Beber el ganado;;;
adalid|a-da-lid|Oficial que mandaba los soldados embarcados en una nave de guerra;;;
adalides|a-da-li-des|Oficiales que mandaban a los soldados embarcados en las naves de guerra;;;
adamado|a-da-ma-do|Hombre de facciones o modales delicados como de mujer;;;
adamarse|a-da-mar-se|Hacerse delicado de facciones o modales como la mujer;;;
adamascar|a-da-mas-car|Labrar telas con labores parecidas a las del damasco;;;
adamismo|a-da-mis-mo|Doctrina y secta herética nacida en el siglo II, cuyos adeptos debían concurrir a las reuniones completamente desnudos como Adán;;;
adamitas|a-da-mi-tas|Partidarios del adamismo;;;
adán|a-dán|El primer hombre;;;
adaptable|a-dap-ta-ble|Capaz de ser adaptado;;;
adaptado|a-dap-ta-do|Acomodado, ajustado, apropiado, arreglado;;;
adaptador|a-dap-ta-dor|Aparato que permite adaptar un mecanismo eléctrico para diversos usos;;;
adaptar|a-dap-tar|Acomodar, ajustar una cosa a otra;;;
adaptarse|a-dap-tar-se|Fig. Acomodarse, avenirse a circunstancias, condiciones, etc.;;;
adaraja|a-da-ra-ja|Arq. Parte saliente que se deja en una pared para enlazarla con otra;;;
adarga|a-dar-ga|Escudo de cuero ovalado o acorazonado;;;
adargar|a-dar-gar|Cubrir a uno con la adarga para defensa;;;
adarguero|a-dar-gue-ro|El que tenía por oficio hacer adargas;;;
adarmes|a-dar-mes|(Por ~) Fig. Porción mínima de una cosa;;;
adarmes|a-dar-mes|(Por) Fig. Porción mínima de una cosa;;;
